epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.4245,0.8319,0.74359,1,0.85654,0.00035725,0.00035725,0.00035725
2,42.9147,0.48927,0.87179,1,0.47727,0.00071436,0.00071436,0.00071436
3,45.7254,0.36432,0.87179,1,0.31038,0.00105676,0.00105676,0.00105676
4,48.4988,0.2735,0.84615,1,0.27079,0.00134412,0.00134412,0.00134412
5,51.2815,0.22346,0.92308,1,0.08717,0.00131582,0.00131582,0.00131582
6,54.0575,0.16168,0.87179,1,0.25292,0.00128753,0.00128753,0.00128753
7,56.8423,0.15774,0.92308,1,0.0995,0.00125923,0.00125923,0.00125923
8,59.6605,0.14947,1,1,0.07335,0.00123094,0.00123094,0.00123094
9,62.4421,0.10499,0.97436,1,0.05991,0.00120265,0.00120265,0.00120265
10,65.1982,0.09102,0.97436,1,0.0302,0.00117435,0.00117435,0.00117435
11,67.9586,0.11426,1,1,0.02169,0.00114606,0.00114606,0.00114606
12,70.7475,0.09594,0.92308,1,0.12449,0.00111776,0.00111776,0.00111776
13,73.5316,0.0884,0.89744,1,0.71799,0.00108947,0.00108947,0.00108947
14,76.298,0.0856,0.94872,1,0.187,0.00106118,0.00106118,0.00106118
15,79.0467,0.13797,0.94872,1,0.13031,0.00103288,0.00103288,0.00103288
16,81.8309,0.10411,0.94872,1,0.24014,0.00100459,0.00100459,0.00100459
17,84.5814,0.10257,0.97436,1,0.56023,0.000976293,0.000976293,0.000976293
18,87.3472,0.07054,0.94872,1,0.11677,0.000947999,0.000947999,0.000947999
